project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm1,0,-13.3,66.7228101172422,standard,0-10 cm,0-13.3 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,esm2,0,-13.417074812025,69.6733557142,standard,0-10 cm,0-13.4 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-1,1,fd,0,-10,55.637555762861,standard,0-10 cm,0-10 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm1,-13.3,-36.3,54.2005305979097,standard,10-30 cm,13.3-36.3 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,esm2,-13.417074812025,-36.7830233539219,50.8951178402826,standard,10-30 cm,13.4-36.8 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-2,2,fd,-10,-30,52.047501954465005,standard,10-30 cm,10-30 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm1,-36.3,-56.5,34.7083139675412,standard,30-50 cm,36.3-56.5 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,esm2,-36.7830233539219,-56.6428086195217,42.8266872399451,standard,30-50 cm,36.8-56.6 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-3,3,fd,-30,-50,42.026295231194,standard,30-50 cm,30-50 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm1,-56.5,-81.5,22.7703912852846,standard,50-75 cm,56.5-81.5 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,esm2,-56.6428086195217,-80.943278006137,27.8312726081983,standard,50-75 cm,56.6-80.9 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-4,4,fd,-50,-75,22.7703912852875,standard,50-75 cm,50-75 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-5,5,esm1,-81.5,-106.5,22.7703912852846,standard,75-100 cm,81.5-106.5 cm
Illinois,max,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-5,5,esm2,-80.943278006137,-107.468939547111,3.73106488945007,standard,75-100 cm,80.9-107.5 cm
Illinois,fd,Ref,IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM-003-5,5,fd,-75,-100,22.7703912852875,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm1,0,-12.4,42.2975161613712,standard,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,esm2,0,-12.3423706746958,42.8118611916568,standard,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-1,1,fd,0,-10,34.9744133713395,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm1,-12.4,-33.9,47.3177171002055,standard,10-30 cm,12.4-33.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm2,-12.3423706746958,-33.9182778053588,47.5779377318784,standard,10-30 cm,12.3-33.9 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,fd,-10,-30,50.11567796458387,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm1,-33.9,-54.6,18.624481171703,standard,30-50 cm,33.9-54.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm2,-33.9182778053588,-54.9916138267568,14.3831989991801,standard,30-50 cm,33.9-55 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,fd,-30,-50,19.511623276729832,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm1,-54.6,-82.1,21.7489119711416,standard,50-75 cm,54.6-82.1 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm2,-54.9916138267568,-82.5742730013498,11.6772454663359,standard,50-75 cm,55-82.6 cm
