dsp_pedon_id,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,soc_stock_0_30cm,soc_stock_30_50cm,soc_stock_50_100cm,soc_stock_100cm
CON-9,CON,NA,NA,-92.842882,43.752284,NA,Readlyn,27,BAU,BAU,CROP,Till,conventional tillage (10cm tillage in Spring; 30cm tillage in fall). Soybean,"Eastern field, 150-acre section with grass waterway running from middle of W border to north-center of section",AG-CROP,Mower,UnivOfMinnesota,Readlyn,110.959348470681,29.845264146172003,36.7952319897536,177.5998446066066
REF-1,REF,NA,NA,-92.845067,43.746917,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,132.3147771463199,76.33595062239999,127.19495487436602,335.8456826430859
REF-2,REF,NA,NA,-92.8454,43.7469,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,128.3692585994445,92.94791160916802,150.95961531236242,372.27678552097495
REF-3,REF,NA,NA,-92.84465,43.746883,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,109.50066898473649,76.6075147261266,108.7644062962329,294.872590007096
REF-4,REF,NA,NA,-92.84395,43.746883,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,122.8068613073142,63.838195005024005,66.3807865013312,253.02584281366939
REF-5,REF,NA,NA,-92.844333,43.7469,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,126.231647295449,66.65199827501279,88.0612206869436,280.9448662574054
REF-6,REF,NA,NA,-92.8436,43.74685,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,140.40212908795,84.7397441087407,77.73565141285161,302.8775246095423
REF-7,REF,NA,NA,-92.843,43.74685,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,100.43566715868299,75.36437927568099,130.231456800854,306.031503235218
REF-8,REF,NA,NA,-92.84325,43.7469,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,134.0511857711255,69.4274197025456,85.62838215987401,289.10698763354515
REF-9,REF,NA,NA,-92.84265,43.746867,NA,Kenyon,85,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,Mower,UnivOfMinnesota,Kenyon,116.1184415883325,69.68660846553,60.3706605551813,246.1757106090438
IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM,1,6/19/2020,-88.216396,40.0916401,Drummer,Drummer,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,123.5963896338173,32.84022497058,38.32264494129,194.7592595456873
IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM,2,6/19/2020,-88.2161899,40.0918033,Drummer,Drummer,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,127.633380329148,37.967060822394004,36.3675000097,201.96794116124198
IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM,3,6/19/2020,-88.2159005,40.0914285,Drummer,Drummer,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,107.685057717326,42.026295231194,45.540782570575,195.25213551909502
IL-019-SW-RTHRML-001,IL-019-SW-RTHRML,1,1/8/2020,-88.0238,39.9295,Drummer,Drummer,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,85.09009133592338,19.511623276729832,39.543476311169165,144.14519092382238
IL-019-SW-RTHRML-001A,IL-019-SW-RTHRML,1,11/18/2020,-88.0238,39.9295,Drummer,Drummer,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,74.14806386379135,23.282758547417103,NA,NA
IL-019-SW-RTHRML-002,IL-019-SW-RTHRML,2,1/8/2020,-88.0238,39.9295,Drummer,Drummer,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,82.30804235537593,48.9077174774725,183.75616228864249,314.97192212149093
IL-019-SW-RTHRML-003,IL-019-SW-RTHRML,3,1/8/2020,-88.0275783,39.9254322,Drummer,Flanagan,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,135.4601988429834,35.171936791436664,45.206236299983324,215.8383719344034
IL-019-SW-RTHRML-004,IL-019-SW-RTHRML,4,1/8/2020,-88.0275783,39.9254322,Drummer,Flanagan,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,81.06999439476117,24.8531590025885,34.0484426407825,139.97159603813216
IL-019-SW-RTHRML-004A,IL-019-SW-RTHRML,4,11/18/2020,-88.027589,39.92541,Drummer,Flanagan,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,92.60863428655026,39.75192767263214,NA,NA
IL-115-SW-ETAL-001,IL-115-SW-ETAL,1,5/12/2020,-88.745608,39.895068,Drummer,Drummer,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,97.59285424262751,52.100725654454,58.29558797160001,207.98916786868153
IL-115-SW-ETAL-001A,IL-115-SW-ETAL,1,11/19/2020,-88.745608,39.895068,Drummer,Drummer,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,88.48526574246813,59.79818651350024,NA,NA
IL-115-SW-ETAL-002,IL-115-SW-ETAL,2,5/12/2020,-88.746645,39.895384,Drummer,Drummer,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,77.95596951843599,41.076944703900004,39.05028588657,158.083200108906
IL-115-SW-ETAL-003,IL-115-SW-ETAL,3,5/12/2020,-88.746587,39.90146,Drummer,Dana,33,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Etal,Illinois,Drummer,87.0048923158495,36.779819892774,32.145738062355,155.9304502709785
IL-115-SW-WDFLD-001,IL-115-SW-WDFLD,1,5/12/2020,-88.798131,39.866062,Drummer,Drummer,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,97.885057721973,30.525555586976,42.82909999965,171.239713308599
IL-115-SW-WDFLD-001A,IL-115-SW-WDFLD,1,11/19/2020,-88.798131,39.866062,Drummer,Drummer,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,78.41845821973445,32.42393299756976,NA,NA
IL-115-SW-WDFLD-002,IL-115-SW-WDFLD,2,5/12/2020,-88.799917,39.865395,Drummer,Drummer,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,100.39037066019,39.721632516732,44.408199937815,184.520203114737
IL-115-SW-WDFLD-003,IL-115-SW-WDFLD,3,5/12/2020,-88.798039,39.868482,Drummer,Drummer,34,BAU - Organic,BAU,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn,AG-CROP,Woodfield,Illinois,Drummer,98.081461441465,35.98904124528,45.57700331504,179.647506001785
IL-147-SW-CRP-001,IL-147-SW-CRP,1,5/12/2020,-88.743611,39.895694,Drummer,Drummer,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,109.080661846545,42.911844677506,44.64010184704,196.632608371091
IL-147-SW-CRP-001A,IL-147-SW-CRP,1,11/19/2020,-88.743611,39.895694,Drummer,Drummer,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,100.47442030369669,44.513177930463776,NA,NA
IL-147-SW-CRP-002,IL-147-SW-CRP,2,5/12/2020,-88.743611,39.896889,Drummer,Flanagan,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,80.623788192266,48.294844767634004,43.712291753775,172.630924713675
IL-147-SW-CRP-003,IL-147-SW-CRP,3,5/12/2020,-88.743333,39.898194,Drummer,Dana,35,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Cripe,Illinois,Drummer,72.7022529126295,23.58244773904,29.47820008766,125.76290073932951
