dsp_pedon_id,dsp_plot_id,label_full,label,lu,till,trt,project,soil,site,pedon_x,pedon_y,map,mat,climate
CeH1-1,CeH1,SHM - forage,SHM,FORAGE,Perennial,hay 1,NCState,Cecil,Lake Wheeler,-78.68048,35.73409,1223.04284667969,15.789999961853,warm_wet
CeH1-2,CeH1,SHM - forage,SHM,FORAGE,Perennial,hay 1,NCState,Cecil,Lake Wheeler,-78.68042,35.73443,1223.04284667969,15.789999961853,warm_wet
CeH1-3,CeH1,SHM - forage,SHM,FORAGE,Perennial,hay 1,NCState,Cecil,Lake Wheeler,-78.68036,35.73477,1223.04284667969,15.789999961853,warm_wet
CeH2-1,CeH2,SHM - forage,SHM,FORAGE,Perennial,hay 2,NCState,Cecil,Lake Wheeler,-78.67504,35.72877,1223.13793945312,15.7299995422363,warm_wet
CeH2-2,CeH2,SHM - forage,SHM,FORAGE,Perennial,hay 2,NCState,Cecil,Lake Wheeler,-78.67478,35.72871,1223.13793945312,15.7299995422363,warm_wet
CeH2-3,CeH2,SHM - forage,SHM,FORAGE,Perennial,hay 2,NCState,Cecil,Lake Wheeler,-78.67452,35.72865,1223.13793945312,15.7299995422363,warm_wet
CeH3-1,CeH3,SHM - forage,SHM,FORAGE,Perennial,hay 3,NCState,Cecil,Lake Wheeler,-78.67191,35.73246,1222.80590820312,15.7399997711182,warm_wet
CeH3-2,CeH3,SHM - forage,SHM,FORAGE,Perennial,hay 3,NCState,Cecil,Lake Wheeler,-78.67204,35.73285,1222.80590820312,15.7399997711182,warm_wet
CeH3-3,CeH3,SHM - forage,SHM,FORAGE,Perennial,hay 3,NCState,Cecil,Lake Wheeler,-78.67215,35.73325,1222.80590820312,15.7399997711182,warm_wet
ASP10-1,ASP10,SHM - no-till,SHM,CROP,No-till,ASP10,WashingtonState,Palouse,JEA,-117.4595977,46.78836813,489.878997802734,9.63000011444092,cool_dry
ASP10-2,ASP10,SHM - no-till,SHM,CROP,No-till,ASP10,WashingtonState,Palouse,JEA,-117.4595978,46.788368,489.878997802734,9.63000011444092,cool_dry
ASP10-3,ASP10,SHM - no-till,SHM,CROP,No-till,ASP10,WashingtonState,Palouse,JEA,-117.4595972,46.78836851,489.878997802734,9.63000011444092,cool_dry
ASP2-1,ASP2,SHM - no-till,SHM,CROP,No-till,ASP2,WashingtonState,Palouse,CK,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
ASP2-2,ASP2,SHM - no-till,SHM,CROP,No-till,ASP2,WashingtonState,Palouse,CK,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
ASP2-3,ASP2,SHM - no-till,SHM,CROP,No-till,ASP2,WashingtonState,Palouse,CK,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
ASP6-1,ASP6,SHM - no-till,SHM,CROP,No-till,ASP6,WashingtonState,Palouse,KU,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
ASP6-2,ASP6,SHM - no-till,SHM,CROP,No-till,ASP6,WashingtonState,Palouse,KU,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
ASP6-3,ASP6,SHM - no-till,SHM,CROP,No-till,ASP6,WashingtonState,Palouse,KU,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
ASP9-1,ASP9,SHM - no-till,SHM,CROP,No-till,ASP9,WashingtonState,Palouse,PCF,-117.2000596,46.75757137,515.658996582031,8.73999977111816,cool_dry
ASP9-2,ASP9,SHM - no-till,SHM,CROP,No-till,ASP9,WashingtonState,Palouse,PCF,-117.2000596,46.75757137,515.658996582031,8.73999977111816,cool_dry
ASP9-3,ASP9,SHM - no-till,SHM,CROP,No-till,ASP9,WashingtonState,Palouse,PCF,-117.4236807,46.74504918,493.412994384766,9.5398998260498,cool_dry
BAU3-1,BAU3,BAU,BAU,CROP,Till,BAU3,WashingtonState,Palouse,KU,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
BAU3-2,BAU3,BAU,BAU,CROP,Till,BAU3,WashingtonState,Palouse,KU,-117.4236809,46.74504916,493.412994384766,9.5398998260498,cool_dry
BAU3-3,BAU3,BAU,BAU,CROP,Till,BAU3,WashingtonState,Palouse,KU,-117.4236809,46.74504916,493.412994384766,9.5398998260498,cool_dry
BAU8-1,BAU8,BAU,BAU,CROP,Till,BAU8,WashingtonState,Palouse,LYM,-117.4236809,46.74504916,493.412994384766,9.5398998260498,cool_dry
