project,dsp_pedon_id,dsp_plot_id,label,trt,explanation,lu,till,soil,suborder,soil_sampled_name,pedon_x,pedon_y,map,mat
TexasA&MPt-2,NT-2-2,NT-2,SHM,no-till fallow after wheat,no-till fallow after wheat,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-2-3,NT-2,SHM,no-till fallow after wheat,no-till fallow after wheat,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-2-1,MT-2,BAU,mulch tillage fallow after wheat,mulch tillage fallow after wheat,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-2-2,MT-2,BAU,mulch tillage fallow after wheat,mulch tillage fallow after wheat,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-2-3,MT-2,BAU,mulch tillage fallow after wheat,mulch tillage fallow after wheat,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-3-1,NT-3,SHM,no-till wheat,no-till wheat,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,R-1-2,R-1,Ref,Native Rangeland,Native,FORAGE,Perennial,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-3-2,NT-3,SHM,no-till wheat,no-till wheat,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,NT-3-3,NT-3,SHM,no-till wheat,no-till wheat,CROP,No-till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-3-1,MT-3,BAU,mulch tillage wheat,mulch tillage wheat,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-3-2,MT-3,BAU,mulch tillage wheat,mulch tillage wheat,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,MT-3-3,MT-3,BAU,mulch tillage wheat,mulch tillage wheat,CROP,Till,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,R-1-3,R-1,Ref,Native Rangeland,Native,FORAGE,Perennial,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,R-2-1,R-2,Ref,Native with introduced species,Native with introduced species,FORAGE,Perennial,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,R-2-2,R-2,Ref,Native with introduced species,Native with introduced species,FORAGE,Perennial,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
TexasA&MPt-2,R-2-3,R-2,Ref,Native with introduced species,Native with introduced species,FORAGE,Perennial,Pullman,Ustolls,Pullman,-102.093806,35.18025,469.126983642578,13.7299995422363
