project,label,dsp_plot_id,dsp_pedon_id,dsp_sample_id,layer_no,hzdesg,hrzdep_t,hrzdep_b,soc_fill,bd_hybrid
KansasState,BAU,KeC3,KeC3-3,KeC3-3-1,1,Ap1,0,5,1.23,1.252307599
KansasState,BAU,KeC3,KeC3-3,KeC3-3-2,2,Ap1,5,10,1.03,1.210213226
KansasState,BAU,KeC3,KeC3-3,KeC3-3-3,3,Ap2,10,18,0.88,1.258446362
KansasState,BAU,KeC3,KeC3-3,KeC3-3-4,4,Bt1,18,29,1.01,1.427461648
KansasState,BAU,KeC3,KeC3-3,KeC3-3-5,5,Bt2,29,41,0.89,1.348335388
KansasState,BAU,KeC3,KeC3-3,KeC3-3-6,6,Btk1,41,57,0.59,1.303390875
KansasState,BAU,KeC3,KeC3-3,KeC3-3-7,7,Btk2,57,76,0.36,1.313141353
KansasState,BAU,KeC3,KeC3-3,KeC3-3-8,8,Bk,76,100,0.41,1.225194731
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-1,1,Ap,0,5,1.92,1.495227211
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-2,2,Ap,5,10,1.09,1.26107726
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-3,3,A,10,18,0.93,1.396568524
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-4,4,Bt1,18,27,0.62,1.426531532
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-5,5,Bt2,27,37,0.58,1.518466812
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-6,6,Btk,37,59,0.72,1.168358026
KansasState,SHM,KeCF1,KeCF1-1,KeCF1-1-7,7,Bk,59,100,0.51,1.149574228
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-1,1,Ap1,0,5,1.79,1.275108718
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-2,2,Ap1,5,10,1.11,1.3557896
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-3,3,Ap2,10,18,0.9,1.470562539
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-4,4,Bt1,18,32,0.62,1.24811069
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-5,5,Bt2,32,45,0.55,1.282731577
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-6,6,Btk,45,66,0.53,1.019368697
KansasState,SHM,KeCF1,KeCF1-2,KeCF1-2-7,7,Bk,66,100,0.5,1.077352861
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-1,1,Ap1,0,5,1.89,1.06288292
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-2,2,Ap1,5,10,1.19,1.259323328
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-3,3,Ap2,10,18,1.23,1.093467113
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-4,4,Bt1,18,46,0.8,1.318144935
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-5,5,Bt2,46,77,0.57,1.265377223
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-6,6,Btk,77,95,0.48,1.411671829
KansasState,SHM,KeCF1,KeCF1-3,KeCF1-3-7,7,Bk,95,100,0.45,1.571523262
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-1,1,Ap1,0,5,1.89,1.298786803
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-2,2,Ap1,5,10,1.05,1.347896905
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-3,3,Ap2,10,23,0.89,1.394038814
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-4,4,Bt1,23,40,0.72,1.358523671
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-5,5,Bt2,40,57,0.58,1.30281053
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-6,6,Btk1,57,74,0.48,1.370904369
KansasState,SHM,KeCF3,KeCF3-1,KeCF3-1-7,7,Btk2,74,100,0.44,1.017617978
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-1,1,Ap1,0,5,1.65,0.859426784
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-2,2,Ap1,5,10,1.01,1.422439024
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-3,3,Ap2,10,21,1.07,1.393180246
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-4,4,Bt1,21,36,0.67,1.199981955
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-5,5,Bt2,36,52,0.56,1.353542374
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-6,6,Btk1,52,75,0.57,1.244338646
KansasState,SHM,KeCF3,KeCF3-2,KeCF3-2-7,7,Btk2,75,100,0.78,1.237749962
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-1,1,Ap1,0,5,1.63,1.114623921
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-2,2,Ap1,5,10,1.01,1.454009804
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-3,3,Ap2,10,21,0.8,0.788611771
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-4,4,Bt1,21,37,0.59,1.274615425
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-5,5,Bt2,37,50,0.54,1.268902496
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-6,6,Btk1,50,83,0.72,1.281685964
KansasState,SHM,KeCF3,KeCF3-3,KeCF3-3-7,7,Btk2,83,100,0.61,1.218961933875
KansasState,Ref,KeN1,KeN1-1,KeN1-1-1,1,A1,0,5,3.19,1.153210429
KansasState,Ref,KeN1,KeN1-1,KeN1-1-2,2,A1,5,10,2.01,1.247045803
KansasState,Ref,KeN1,KeN1-1,KeN1-1-3,3,A2,10,23,1.68,0.795992902
KansasState,Ref,KeN1,KeN1-1,KeN1-1-4,4,Bt1,23,44,1.04,1.210944031
KansasState,Ref,KeN1,KeN1-1,KeN1-1-5,5,Bt2,44,68,0.68,1.239654231
KansasState,Ref,KeN1,KeN1-1,KeN1-1-6,6,Bk1,68,80,0.79,0.988779284
KansasState,Ref,KeN1,KeN1-1,KeN1-1-7,7,Bk2,80,100,0.53,1.109362124
KansasState,Ref,KeN1,KeN1-2,KeN1-2-1,1,A1,0,5,3.37,0.885735767
KansasState,Ref,KeN1,KeN1-2,KeN1-2-2,2,A1,5,10,1.9,1.083053141
KansasState,Ref,KeN1,KeN1-2,KeN1-2-3,3,A2,10,28,1.59,1.180688701
KansasState,Ref,KeN1,KeN1-2,KeN1-2-4,4,Bt1,28,42,0.88,1.234768277
KansasState,Ref,KeN1,KeN1-2,KeN1-2-5,5,Bt2,42,64,0.6,1.099749226
KansasState,Ref,KeN1,KeN1-2,KeN1-2-6,6,Btk,64,86,0.53,1.16479891
KansasState,Ref,KeN1,KeN1-2,KeN1-2-7,7,Bk,86,100,0.56,1.148240955
KansasState,Ref,KeN1,KeN1-3,KeN1-3-1,1,A1,0,5,3.53,0.848903191
KansasState,Ref,KeN1,KeN1-3,KeN1-3-2,2,A1,5,10,1.82,1.210213226
KansasState,Ref,KeN1,KeN1-3,KeN1-3-3,3,A2,10,26,1.31,1.181437776
KansasState,Ref,KeN1,KeN1-3,KeN1-3-4,4,Bt,26,41,0.74,1.201199963
KansasState,Ref,KeN1,KeN1-3,KeN1-3-5,5,Btk,41,59,0.59,0.991180501
KansasState,Ref,KeN1,KeN1-3,KeN1-3-6,6,Bk1,59,80,0.56,1.177640199
KansasState,Ref,KeN1,KeN1-3,KeN1-3-7,7,Bk2,80,100,0.46,1.096207632
KansasState,Ref,KeN2,KeN2-1,KeN2-1-1,1,A1,0,5,1.12,0.917306547
KansasState,Ref,KeN2,KeN2-1,KeN2-1-2,2,A1,5,10,1.87,1.208459294
KansasState,Ref,KeN2,KeN2-1,KeN2-1-3,3,A2,10,25,1.6,1.205828396
KansasState,Ref,KeN2,KeN2-1,KeN2-1-4,4,Bt1,25,44,1.56,1.196135612
KansasState,Ref,KeN2,KeN2-1,KeN2-1-5,5,Bt2,44,70,0.93,1.228764432
KansasState,Ref,KeN2,KeN2-1,KeN2-1-6,6,Bt3,70,88,0.61,1.274280472
KansasState,Ref,KeN2,KeN2-1,KeN2-1-7,7,Btk,88,100,0.6,1.414107846
KansasState,Ref,KeN2,KeN2-2,KeN2-2-1,1,A1,0,5,3.87,0.81294758
KansasState,Ref,KeN2,KeN2-2,KeN2-2-2,2,A1,5,10,2.44,1.010264954
