project,label,dsp_plot_id,dsp_pedon_id,dsp_sample_id,layer_no,hzdesg,hrzdep_t,hrzdep_b,soc_fill,bd_hybrid
NCState,SHM,CeH3,CeH3-3,CeH3-3-5,5,BCt,36,100,0.15,1.915255428
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-1,1,Ap1a,0,5,2.18,0.9951162790697674
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-2,2,Ap1b,5,10,1.37,0.9951162790697674
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-3,3,Ap2,10,33,1.12,1.11
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-4,4,A,33,60,0.48,1.03
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-5,5,AB,60,82,0.36,1.07
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-6,6,Bw1,82,106,0.28,0.98
WashingtonState,SHM,ASP10,ASP10-1,ASP10-1-7,7,Bw2,106,122,0.17,1.41
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-1,1,Ap1a,0,5,1.63,0.9951162790697674
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-2,2,Ap1b,5,10,1.17,0.9951162790697674
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-3,3,Ap2,10,32,1,1.1
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-4,4,A,32,55,0.44,1.23
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-5,5,AB,55,84,0.23,1.06
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-6,6,Bw1,84,108,0.16,0.99
WashingtonState,SHM,ASP10,ASP10-2,ASP10-2-7,7,Bw2,108,122,0.08,0.96
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-1,1,Ap1a,0,5,0.77,0.9951162790697674
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-2,2,Ap1b,5,10,0.67,0.9951162790697674
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-3,3,Ap2,10,27,0.46,1.54
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-4,4,A,27,51,0.11,1
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-5,5,AB,51,78,0.08,1.22
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-6,6,Bw1,78,105,0.07,1.15
WashingtonState,SHM,ASP10,ASP10-3,ASP10-3-7,7,Bw2,105,122,0.05,1.07
WashingtonState,SHM,ASP2,ASP2-1,ASP2-1-1,1,Ap1a,0,5,2.8592,0.76
WashingtonState,SHM,ASP2,ASP2-1,ASP2-1-2,2,Ap1b,5,10,2.1884,0.98
WashingtonState,SHM,ASP2,ASP2-1,ASP2-1-3,3,Ap2,10,29,1.8814,1.35
WashingtonState,SHM,ASP2,ASP2-1,ASP2-1-4,4,A,29,65,1.4542,1.18
WashingtonState,SHM,ASP2,ASP2-1,ASP2-1-5,5,AB,65,88,0.98112,1.09
WashingtonState,SHM,ASP2,ASP2-1,ASP2-1-6,6,Bw1,88,122,0.72931,1.1125
WashingtonState,SHM,ASP2,ASP2-2,ASP2-2-1,1,Ap1a,0,5,2.6852,0.51
WashingtonState,SHM,ASP2,ASP2-2,ASP2-2-2,2,Ap1b,5,10,2.5545,0.65
WashingtonState,SHM,ASP2,ASP2-2,ASP2-2-3,3,Ap2,10,32,1.4813,1.09
WashingtonState,SHM,ASP2,ASP2-2,ASP2-2-4,4,A,32,77,0.96083,1.04
WashingtonState,SHM,ASP2,ASP2-2,ASP2-2-5,5,AB,77,98,0.49108,1.2
WashingtonState,SHM,ASP2,ASP2-2,ASP2-2-6,6,Bw1,98,122,0.28,1.1125
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-1,1,Ap1a,0,5,2.3962,0.66
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-2,2,Ap1b,5,10,2.7359,0.83
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-3,3,Ap2,10,39,2.319,1.18
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-4,4,A,39,64,1.541,1.28
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-5,5,AB,64,89,0.76323,1.07
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-6,6,Bw1,89,108,0.39041,1.1125
WashingtonState,SHM,ASP2,ASP2-3,ASP2-3-7,7,Bw2,108,122,0.52572,1.1125
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-1,1,Ap1a,0,5,2.58,0.99
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-2,2,Ap1b,5,10,1.69,1.02
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-3,3,Ap2,10,28,1.5,1.13
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-4,4,A,28,48,0.68,1.22
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-5,5,AB,48,72,0.4,1.16
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-6,6,Bw1,72,92,0.26,1.23
WashingtonState,SHM,ASP6,ASP6-1,ASP6-1-7,7,Bw2,92,122,0.21,1.15
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-1,1,Ap1a,0,5,2.41,0.87
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-2,2,Ap1b,5,10,2.04,0.7
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-3,3,Ap2,10,33,1.51,1.05
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-4,4,A,33,57,0.97,0.6
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-5,5,AB,57,88,0.65,1.18
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-6,6,Bw1,88,106,0.5,1.1
WashingtonState,SHM,ASP6,ASP6-2,ASP6-2-7,7,Bw2,106,122,0.38,1.16
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-1,1,Ap1a,0,5,2.69,1.07
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-2,2,Ap1b,5,10,1.87,1.05
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-3,3,Ap2,10,28,1.84,1.12
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-4,4,A,28,61,1.31,0.85
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-5,5,A,61,88,0.97,1.13
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-6,6,AB,88,109,0.68,1.14
WashingtonState,SHM,ASP6,ASP6-3,ASP6-3-7,7,Bw1,109,122,0.31,1.63
WashingtonState,SHM,ASP9,ASP9-1,ASP9-1-1,1,Ap1a,0,5,3.0774,0.91
WashingtonState,SHM,ASP9,ASP9-1,ASP9-1-2,2,Ap1b,5,10,2.1789,0.65
WashingtonState,SHM,ASP9,ASP9-1,ASP9-1-3,3,Ap2,10,30,1.5741,1.05
WashingtonState,SHM,ASP9,ASP9-1,ASP9-1-4,4,A,30,63,1.7764,1.16
WashingtonState,SHM,ASP9,ASP9-1,ASP9-1-5,5,AB,63,104,1.3819,1.12
WashingtonState,SHM,ASP9,ASP9-1,ASP9-1-6,6,Bw1,104,122,1.1099,1.06
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-1,1,Ap1a,0,5,2.5818,1.07
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-2,2,Ap1b,5,10,2.193,0.77
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-3,3,Ap2,10,33,1.5876,0.99
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-4,4,A,33,57,1.2529,1.27
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-5,5,AB,57,87,0.91909,1.23
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-6,6,Bw1,87,109,0.55295,1.14
WashingtonState,SHM,ASP9,ASP9-2,ASP9-2-7,7,Bw2,109,122,0.4585,0.97
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-1,1,Ap1a,0,5,3.3002,1.07
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-2,2,Ap1b,5,10,1.9376,0.58
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-3,3,Ap2,10,29,1.3138,0.89
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-4,4,A,29,51,0.87273,1.06
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-5,5,AB,51,82,0.63752,0.88
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-6,6,Bw1,82,106,0.40291,0.84
WashingtonState,SHM,ASP9,ASP9-3,ASP9-3-7,7,Bw2,106,122,0.1583,0.96
WashingtonState,BAU,BAU3,BAU3-1,BAU3-1-1,1,Ap1a,0,5,2.05,0.77
WashingtonState,BAU,BAU3,BAU3-1,BAU3-1-2,2,Ap1b,5,10,1.65,0.71
WashingtonState,BAU,BAU3,BAU3-1,BAU3-1-3,3,Ap2,10,34,0.93,1.06
WashingtonState,BAU,BAU3,BAU3-1,BAU3-1-4,4,A,34,70,0.47,1.06
WashingtonState,BAU,BAU3,BAU3-1,BAU3-1-5,5,AB,70,100,0.44,1.09
WashingtonState,BAU,BAU3,BAU3-1,BAU3-1-6,6,Bw1,100,122,0.41,1.06
WashingtonState,BAU,BAU3,BAU3-2,BAU3-2-1,1,Ap1a,0,5,1.75,0.72
WashingtonState,BAU,BAU3,BAU3-2,BAU3-2-2,2,Ap1b,5,10,1.33,0.67
WashingtonState,BAU,BAU3,BAU3-2,BAU3-2-3,3,Ap2,10,38,0.84,0.99
WashingtonState,BAU,BAU3,BAU3-2,BAU3-2-4,4,A,38,75,0.56,1.15
WashingtonState,BAU,BAU3,BAU3-2,BAU3-2-5,5,AB,75,103,0.51,1.14
WashingtonState,BAU,BAU3,BAU3-2,BAU3-2-6,6,Bw1,103,122,0.2,1.12
WashingtonState,BAU,BAU3,BAU3-3,BAU3-3-1,1,Ap1a,0,5,1.9,0.72
WashingtonState,BAU,BAU3,BAU3-3,BAU3-3-2,2,Ap1b,5,10,1.44,0.71
WashingtonState,BAU,BAU3,BAU3-3,BAU3-3-3,3,Ap2,10,33,0.86,1
WashingtonState,BAU,BAU3,BAU3-3,BAU3-3-4,4,A,33,72,0.51,0.99
WashingtonState,BAU,BAU3,BAU3-3,BAU3-3-5,5,AB,72,94,0.3,0.99
WashingtonState,BAU,BAU3,BAU3-3,BAU3-3-6,6,Bw1,94,122,0.18,0.6
WashingtonState,BAU,BAU8,BAU8-1,BAU8-1-1,1,Ap1a,0,5,2.057,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-1,BAU8-1-2,2,Ap1b,5,10,2.215,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-1,BAU8-1-3,3,Ap2,10,29,2.0668,0.8
WashingtonState,BAU,BAU8,BAU8-1,BAU8-1-4,4,A,29,79,2.5018,0.74
WashingtonState,BAU,BAU8,BAU8-1,BAU8-1-5,5,AB,79,106,1.925,0.9
WashingtonState,BAU,BAU8,BAU8-1,BAU8-1-6,6,Bw1,106,122,1.3431,1.1014285714285714
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-1,1,Ap1a,0,5,2.0435,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-2,2,Ap1b,5,10,1.9509,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-3,3,Ap2,10,26,1.811,0.98
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-4,4,A,26,56,1.9217,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-5,5,AB,56,77,2.6226,0.9
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-6,6,Bw1,77,96,2.1902,1.1014285714285714
WashingtonState,BAU,BAU8,BAU8-2,BAU8-2-7,7,Bw2,96,122,1.0746,1.1014285714285714
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-1,1,Ap1a,0,5,2.4254,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-2,2,Ap1b,5,10,2.1139,0.9414814814814815
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-3,3,Ap2,10,24,1.9411,1.54
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-4,4,A,24,62,1.9273,0.85
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-5,5,AB,62,85,1.6069,1.0425
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-6,6,Bw1,85,108,1.1349,1.1014285714285714
WashingtonState,BAU,BAU8,BAU8-3,BAU8-3-7,7,Bw2,108,122,0.83987,1.1014285714285714
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-1,1,Ap1a,0,5,1.4886,0.79
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-2,2,Ap1b,5,10,1.3078,0.75
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-3,3,Ap2,10,33,1.1747,1.31
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-4,4,A,33,68,0.94565,1.2
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-5,5,AB,68,89,0.61908,1.48
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-6,6,Bw1,89,106,0.37446,1.24
WashingtonState,BAU,BAU9,BAU9-1,BAU9-1-7,7,Bw2,106,122,0.22639,1.26
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-1,1,Ap1a,0,5,1.5816,0.7
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-2,2,Ap1b,5,10,1.5013,0.88
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-3,3,Ap2,10,31,1.1734,1.38
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-4,4,A,31,60,0.86227,1.09
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-5,5,AB,60,83,0.57909,0.69
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-6,6,Bw1,83,103,0.56826,1.3
WashingtonState,BAU,BAU9,BAU9-2,BAU9-2-7,7,Bw2,103,122,0.42772,1.13
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-1,1,Ap1a,0,5,1.6908,0.99
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-2,2,Ap1b,5,10,1.5988,0.87
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-3,3,Ap2,10,30,1.3883,0.9414814814814815
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-4,4,A,30,59,1.1153,0.9414814814814815
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-5,5,AB,59,86,0.64053,1.15
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-6,6,Bw1,86,102,0.48216,1.1014285714285714
WashingtonState,BAU,BAU9,BAU9-3,BAU9-3-7,7,Bw2,102,122,0.2709,1.1014285714285714
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-1,1,Ap1a,0,5,1.8348,0.9572727272727273
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-2,2,Ap1b,5,10,1.6937,0.9572727272727273
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-3,3,Ap2,10,20,1.215,1.13
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-4,4,A,20,41,0.54155,1.15
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-5,5,AB,41,64,0.37795,1.2
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-6,6,Bw1,64,99,0.25638,1.0433333333333332
WashingtonState,Ref,PGL7,PGL7-7a,PGL7-7a-7,7,Bw2,99,122,0.14312,1.0433333333333332
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-1,1,Ap1a,0,5,2.5639,0.79
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-2,2,Ap1b,5,10,1.9045,0.76
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-3,3,Ap2,10,22,1.4214,1.07
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-4,4,A,22,45,0.97936,1.03
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-5,5,AB,45,67,0.47664,1.1075
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-6,6,Bw1,67,103,0.29965,1.29
WashingtonState,Ref,PGL7,PGL7-7b,PGL7-7b-7,7,Bw2,103,122,0.24019,1.0433333333333332
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-1,1,Ap1a,0,5,2.8044,1.02
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-2,2,Ap1b,5,10,1.9918,0.81
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-3,3,Ap2,10,23,1.6103,0.8
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-4,4,A,23,42,1.6018,1.03
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-5,5,AB,42,65,0.95548,1.1075
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-6,6,Bw1,65,98,0.79111,1.0433333333333332
WashingtonState,Ref,PGL7,PGL7-7c,PGL7-7c-7,7,Bw2,98,122,0.3385,1.0433333333333332
WashingtonState,Ref,PGL9,PGL9-1,PGL9-1-1,1,Ap1a,0,5,3.0774,0.91
WashingtonState,Ref,PGL9,PGL9-1,PGL9-1-2,2,Ap1b,5,10,2.1789,0.65
WashingtonState,Ref,PGL9,PGL9-1,PGL9-1-3,3,Ap2,10,30,1.5741,1.05
WashingtonState,Ref,PGL9,PGL9-1,PGL9-1-4,4,A,30,63,1.7764,1.16
WashingtonState,Ref,PGL9,PGL9-1,PGL9-1-5,5,AB,63,104,1.3819,1.12
WashingtonState,Ref,PGL9,PGL9-1,PGL9-1-6,6,Bw1,104,122,1.1099,1.06
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-1,1,Ap1a,0,5,2.5818,1.07
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-2,2,Ap1b,5,10,2.193,0.77
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-3,3,Ap2,10,33,1.5876,0.99
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-4,4,A,33,57,1.2529,1.27
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-5,5,AB,57,87,0.91909,1.23
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-6,6,Bw1,87,109,0.55295,1.14
WashingtonState,Ref,PGL9,PGL9-2,PGL9-2-7,7,Bw2,109,122,0.4585,0.97
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-1,1,Ap1a,0,5,3.3002,1.07
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-2,2,Ap1b,5,10,1.9376,0.58
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-3,3,Ap2,10,29,1.3138,0.89
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-4,4,A,29,51,0.87273,1.06
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-5,5,AB,51,82,0.63752,0.88
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-6,6,Bw1,82,106,0.40291,0.84
WashingtonState,Ref,PGL9,PGL9-3,PGL9-3-7,7,Bw2,106,122,0.1583,0.96
UnivOfMinnesota,SHM,ALT,ALT-1,ALT-1-1,1,Ap1,0,5,2.9871,1.316609735
UnivOfMinnesota,SHM,ALT,ALT-1,ALT-1-2,2,Ap2,5,10,2.548,1.43862096
UnivOfMinnesota,SHM,ALT,ALT-1,ALT-1-3,3,Ap3,10,20,2.6083,1.537770868
UnivOfMinnesota,SHM,ALT,ALT-1,ALT-1-4,4,BA,20,35,2.0574,1.469376377
UnivOfMinnesota,SHM,ALT,ALT-1,ALT-1-5,5,2Bw1,35,61,0.3874,1.74023877
UnivOfMinnesota,SHM,ALT,ALT-1,ALT-1-6,6,2Bw2,61,100,0.2755,2.116503198
UnivOfMinnesota,SHM,ALT,ALT-2,ALT-2-1,1,Ap1,0,5,4.0545,1.04252655
UnivOfMinnesota,SHM,ALT,ALT-2,ALT-2-2,2,Ap2,5,10,3.4605,1.091217365
UnivOfMinnesota,SHM,ALT,ALT-2,ALT-2-3,3,Ap3,10,22,3.4519,1.477017867
UnivOfMinnesota,SHM,ALT,ALT-2,ALT-2-4,4,BA,22,40,1.6097,1.629531898
UnivOfMinnesota,SHM,ALT,ALT-2,ALT-2-5,5,2Bw1,40,70,0.8608,2.154079119
UnivOfMinnesota,SHM,ALT,ALT-2,ALT-2-6,6,2Bw2,70,110,0.7747,1.854924268
UnivOfMinnesota,SHM,ALT,ALT-3,ALT-3-1,1,Ap1,0,5,2.5567,1.169675655
UnivOfMinnesota,SHM,ALT,ALT-3,ALT-3-2,2,Ap2,5,10,2.6255,1.486574266
UnivOfMinnesota,SHM,ALT,ALT-3,ALT-3-3,3,Ap3,10,22,2.0574,1.237900223
UnivOfMinnesota,SHM,ALT,ALT-3,ALT-3-4,4,BA,22,38,1.0933,1.551432688
UnivOfMinnesota,SHM,ALT,ALT-3,ALT-3-5,5,2Bw1,38,80,0.3185,1.927359074
UnivOfMinnesota,SHM,ALT,ALT-3,ALT-3-6,6,2Bw2,80,140,0.2669,1.937036744
UnivOfMinnesota,SHM,ALT,ALT-4,ALT-4-1,1,Ap1,0,5,3.5552,1.390639102
UnivOfMinnesota,SHM,ALT,ALT-4,ALT-4-2,2,Ap2,5,10,2.9699,1.399775784
UnivOfMinnesota,SHM,ALT,ALT-4,ALT-4-3,3,Ap3,10,25,2.9612,1.562312553
UnivOfMinnesota,SHM,ALT,ALT-4,ALT-4-4,4,A,25,40,1.5323,1.457180597
UnivOfMinnesota,SHM,ALT,ALT-4,ALT-4-5,5,2BA,40,61,0.7661,1.545241383
UnivOfMinnesota,SHM,ALT,ALT-4,ALT-4-6,6,2Bw1,61,100,0.241,1.938238939
UnivOfMinnesota,SHM,ALT,ALT-5,ALT-5-1,1,Ap1,0,5,3.3989,1.366715421
UnivOfMinnesota,SHM,ALT,ALT-5,ALT-5-2,2,Ap2,5,10,3.3349,1.63787051
UnivOfMinnesota,SHM,ALT,ALT-5,ALT-5-3,3,Ap3,10,26,2.8507,1.45645928
UnivOfMinnesota,SHM,ALT,ALT-5,ALT-5-4,4,BA,26,46,2.4348,1.651274985
UnivOfMinnesota,SHM,ALT,ALT-5,ALT-5-5,5,2Bw1,46,78,0.4058,1.825352825
UnivOfMinnesota,SHM,ALT,ALT-5,ALT-5-6,6,2Bw2,78,116,0.2254,2.162147763
UnivOfMinnesota,SHM,ALT,ALT-6,ALT-6-1,1,Ap1,0,5,3.3997,1.136675402
UnivOfMinnesota,SHM,ALT,ALT-6,ALT-6-2,2,Ap2,5,10,3.048,1.344835471
UnivOfMinnesota,SHM,ALT,ALT-6,ALT-6-3,3,Ap3,10,23,2.5949,1.501481484
UnivOfMinnesota,SHM,ALT,ALT-6,ALT-6-4,4,A,23,43,1.533,1.449065781
UnivOfMinnesota,SHM,ALT,ALT-6,ALT-6-5,5,2Bw1,43,70,0.7214,1.650733997
UnivOfMinnesota,SHM,ALT,ALT-6,ALT-6-6,6,2Bw2,70,104,0.4148,2.045955614
UnivOfMinnesota,SHM,ALT,ALT-7,ALT-7-1,1,Ap1,0,5,3.0791,1.121708074
UnivOfMinnesota,SHM,ALT,ALT-7,ALT-7-2,2,Ap2,5,10,3.3095,1.290616476
UnivOfMinnesota,SHM,ALT,ALT-7,ALT-7-3,3,Ap3,10,27,2.5249,1.454776207
UnivOfMinnesota,SHM,ALT,ALT-7,ALT-7-4,4,A,27,56,1.4338,1.55323598
UnivOfMinnesota,SHM,ALT,ALT-7,ALT-7-5,5,2Bw1,56,77,0.9288,2.091098037
UnivOfMinnesota,SHM,ALT,ALT-7,ALT-7-6,6,2Bw2,77,100,0.3246,1.81206857
UnivOfMinnesota,SHM,ALT,ALT-8,ALT-8-1,1,Ap1,0,5,3.0299,1.3387643869999999
UnivOfMinnesota,SHM,ALT,ALT-8,ALT-8-2,2,Ap2,5,10,3.2103,1.456158731
UnivOfMinnesota,SHM,ALT,ALT-8,ALT-8-3,3,Ap3,10,23,2.3356,1.600061477
UnivOfMinnesota,SHM,ALT,ALT-8,ALT-8-4,4,BA,23,41,1.3617,1.534361518
UnivOfMinnesota,SHM,ALT,ALT-8,ALT-8-5,5,2Bw1,41,85,0.2886,2.01055097
UnivOfMinnesota,SHM,ALT,ALT-8,ALT-8-6,6,2Bw2,85,117,0.2164,1.963845693
UnivOfMinnesota,SHM,ALT,ALT-9,ALT-9-1,1,Ap1,0,5,3.0299,1.303540072
UnivOfMinnesota,SHM,ALT,ALT-9,ALT-9-2,2,Ap2,5,10,3.1923,1.483989546
UnivOfMinnesota,SHM,ALT,ALT-9,ALT-9-3,3,Ap3,10,21,2.5249,1.563935516
UnivOfMinnesota,SHM,ALT,ALT-9,ALT-9-4,4,A,21,46,1.6142,1.585815465
UnivOfMinnesota,SHM,ALT,ALT-9,ALT-9-5,5,BA,46,72,1.5871,1.755445184
UnivOfMinnesota,SHM,ALT,ALT-9,ALT-9-6,6,2Bw1,72,108,0.2976,1.925976549
UnivOfMinnesota,BAU,CON,CON-1,CON-1-1,1,Ap1,0,5,2.8666,1.123872025
UnivOfMinnesota,BAU,CON,CON-1,CON-1-2,2,Ap2,5,10,2.7633,1.350425678
UnivOfMinnesota,BAU,CON,CON-1,CON-1-3,3,Ap3,10,26,2.5997,1.257556112
UnivOfMinnesota,BAU,CON,CON-1,CON-1-4,4,Bw,26,50,0.8953,1.496732814
UnivOfMinnesota,BAU,CON,CON-1,CON-1-5,5,2BG,50,110,0.3788,1.573673296
UnivOfMinnesota,BAU,CON,CON-2,CON-2-1,1,Ap1,0,5,2.9268,1.282822983
UnivOfMinnesota,BAU,CON,CON-2,CON-2-2,2,Ap2,5,10,2.7719,1.247331105
UnivOfMinnesota,BAU,CON,CON-2,CON-2-3,3,Ap3,10,32,2.4103,1.350017571
UnivOfMinnesota,BAU,CON,CON-2,CON-2-4,4,BA,32,54,0.9641,1.624100756
UnivOfMinnesota,BAU,CON,CON-2,CON-2-5,5,Bw1,54,77,0.4218,1.962789264
UnivOfMinnesota,BAU,CON,CON-2,CON-2-6,6,Bw2,77,137,0.3099,1.883153574
UnivOfMinnesota,BAU,CON,CON-3,CON-3-1,1,Ap1,0,5,2.7626,1.15544377
UnivOfMinnesota,BAU,CON,CON-3,CON-3-2,2,Ap2,5,10,2.8407,1.22990093
UnivOfMinnesota,BAU,CON,CON-3,CON-3-3,3,Ap3,10,25,2.0488,1.307768342
UnivOfMinnesota,BAU,CON,CON-3,CON-3-4,4,BA,25,35,0.7834,1.36677587
UnivOfMinnesota,BAU,CON,CON-3,CON-3-5,5,Bw1,35,60,0.5768,1.523035213
UnivOfMinnesota,BAU,CON,CON-3,CON-3-6,6,Bw2,60,80,0.3443,1.799372603
UnivOfMinnesota,BAU,CON,CON-3,CON-3-7,7,2C1,80,110,0.1636,1.755779623
UnivOfMinnesota,BAU,CON,CON-4,CON-4-1,1,Ap1,0,5,3.1851,0.954238925
UnivOfMinnesota,BAU,CON,CON-4,CON-4-2,2,Ap2,5,10,2.7977,1.180452282
UnivOfMinnesota,BAU,CON,CON-4,CON-4-3,3,Ap3,10,25,2.5739,1.440389239
UnivOfMinnesota,BAU,CON,CON-4,CON-4-4,4,AB,25,47,1.0072,1.480253165
UnivOfMinnesota,BAU,CON,CON-4,CON-4-5,5,Bw,47,110,0.3013,1.72697668
UnivOfMinnesota,BAU,CON,CON-5,CON-5-1,1,Ap1,0,5,3.1334,0.965038055
UnivOfMinnesota,BAU,CON,CON-5,CON-5-2,2,Ap2,5,10,2.9957,1.062167073
UnivOfMinnesota,BAU,CON,CON-5,CON-5-3,3,Ap3,10,22,2.5653,1.540044369
UnivOfMinnesota,BAU,CON,CON-5,CON-5-4,4,AB,22,53,0.9469,1.370163316
UnivOfMinnesota,BAU,CON,CON-5,CON-5-5,5,Bw1,53,80,0.4735,1.667739346
