project,method_long,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth,ref_data
OregonState,esm2_mean,mean,BAU,JoXT3-3,JoXT3-3-3,3,esm2,-28.6988040845899,-50.5309004349507,45.9592268348668,standard,30-50 cm,28.7-50.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,JoXT3-3,JoXT3-3-4,4,esm1,-50.8,-78.9,32.3252370000009,standard,50-75 cm,50.8-78.9 cm,indv_project
OregonState,esm2_mean,mean,BAU,JoXT3-3,JoXT3-3-4,4,esm2,-50.5309004349507,-79.09331224124,32.9017796743889,standard,50-75 cm,50.5-79.1 cm,indv_project
OregonState,esm1_mean,mean,BAU,JoXT3-3,JoXT3-3-5,5,esm1,-78.9,-107.6,22.2600070000008,standard,75-100 cm,78.9-107.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,JoXT3-3,JoXT3-3-5,5,esm2,-79.09331224124,-107.392351092839,13.9482386928165,standard,75-100 cm,79.1-107.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-1,WoCT1-1-1,1,esm1,0,-9.5,22.82462,standard,0-10 cm,0-9.5 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-1,WoCT1-1-1,1,esm2,0,-9.56866933869826,22.9679572290538,standard,0-10 cm,0-9.6 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-1,WoCT1-1-2,2,esm1,-9.5,-31,38.4352399999996,standard,10-30 cm,9.5-31 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-1,WoCT1-1-2,2,esm2,-9.56866933869826,-31.0712894961957,39.3221269810838,standard,10-30 cm,9.6-31.1 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-1,WoCT1-1-3,3,esm1,-31,-52.6,14.6319080000005,standard,30-50 cm,31-52.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-1,WoCT1-1-3,3,esm2,-31.0712894961957,-52.6821514964551,15.7610178964049,standard,30-50 cm,31.1-52.7 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-1,WoCT1-1-4,4,esm1,-52.6,-79.2,13.0143120000008,standard,50-75 cm,52.6-79.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-1,WoCT1-1-4,4,esm2,-52.6821514964551,-79.3605609232901,11.1421516188025,standard,50-75 cm,52.7-79.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-1,WoCT1-1-5,5,esm1,-79.2,-105.5,8.84545000000011,standard,75-100 cm,79.2-105.5 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-1,WoCT1-1-5,5,esm2,-79.3605609232901,-105.401606943561,8.10319418367808,standard,75-100 cm,79.4-105.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-2,WoCT1-2-1,1,esm1,0,-9.5,22.803755,standard,0-10 cm,0-9.5 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-2,WoCT1-2-1,1,esm2,0,-9.56866933869826,23.0161586938771,standard,0-10 cm,0-9.6 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-2,WoCT1-2-2,2,esm1,-9.5,-31,37.3418549999996,standard,10-30 cm,9.5-31 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-2,WoCT1-2-2,2,esm2,-9.56866933869826,-31.0712894961957,37.8930720556281,standard,10-30 cm,9.6-31.1 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-2,WoCT1-2-3,3,esm1,-31,-52.6,14.7128479999993,standard,30-50 cm,31-52.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-2,WoCT1-2-3,3,esm2,-31.0712894961957,-52.6821514964551,17.0275092951701,standard,30-50 cm,31.1-52.7 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-2,WoCT1-2-4,4,esm1,-52.6,-79.2,12.9712519999997,standard,50-75 cm,52.6-79.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-2,WoCT1-2-4,4,esm2,-52.6821514964551,-79.3605609232901,9.95222068723724,standard,50-75 cm,52.7-79.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-2,WoCT1-2-5,5,esm1,-79.2,-105.5,9.08122999999966,standard,75-100 cm,79.2-105.5 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-2,WoCT1-2-5,5,esm2,-79.3605609232901,-105.401606943561,8.49072962601836,standard,75-100 cm,79.4-105.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-3,WoCT1-3-1,1,esm1,0,-9.5,21.655865,standard,0-10 cm,0-9.5 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-3,WoCT1-3-1,1,esm2,0,-9.56866933869826,21.8701774459671,standard,0-10 cm,0-9.6 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-3,WoCT1-3-2,2,esm1,-9.5,-31,33.7329449999998,standard,10-30 cm,9.5-31 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-3,WoCT1-3-2,2,esm2,-9.56866933869826,-31.0712894961957,34.1977988398309,standard,10-30 cm,9.6-31.1 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-3,WoCT1-3-3,3,esm1,-31,-52.6,13.6509839999997,standard,30-50 cm,31-52.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-3,WoCT1-3-3,3,esm2,-31.0712894961957,-52.6821514964551,15.9410902593412,standard,30-50 cm,31.1-52.7 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-3,WoCT1-3-4,4,esm1,-52.6,-79.2,10.8385759999994,standard,50-75 cm,52.6-79.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-3,WoCT1-3-4,4,esm2,-52.6821514964551,-79.3605609232901,7.66163661910396,standard,50-75 cm,52.7-79.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT1-3,WoCT1-3-5,5,esm1,-79.2,-105.5,9.2086400000003,standard,75-100 cm,79.2-105.5 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT1-3,WoCT1-3-5,5,esm2,-79.3605609232901,-105.401606943561,10.0224637551287,standard,75-100 cm,79.4-105.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-1,WoCT2-1-1,1,esm1,0,-9.1,23.101643,standard,0-10 cm,0-9.1 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-1,WoCT2-1-1,1,esm2,0,-9.18745333358561,23.2069941788779,standard,0-10 cm,0-9.2 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-1,WoCT2-1-2,2,esm1,-9.1,-27.2,50.2041370000002,standard,10-30 cm,9.1-27.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-1,WoCT2-1-2,2,esm2,-9.18745333358561,-27.170481129716,52.30446244451,standard,10-30 cm,9.2-27.2 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-1,WoCT2-1-3,3,esm1,-27.2,-46.4,27.3388800000012,standard,30-50 cm,27.2-46.4 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-1,WoCT2-1-3,3,esm2,-27.170481129716,-46.2993572815495,31.4392235485003,standard,30-50 cm,27.2-46.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-1,WoCT2-1-4,4,esm1,-46.4,-69.8,23.5618400000015,standard,50-75 cm,46.4-69.8 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-1,WoCT2-1-4,4,esm2,-46.2993572815495,-70.2924168605201,17.5733961251551,standard,50-75 cm,46.3-70.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-1,WoCT2-1-5,5,esm1,-69.8,-92.9,13.7906999999991,standard,75-100 cm,69.8-92.9 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-1,WoCT2-1-5,5,esm2,-70.2924168605201,-93.408372134417,12.5436615007691,standard,75-100 cm,70.3-93.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-2,WoCT2-2-1,1,esm1,0,-9.1,26.231609,standard,0-10 cm,0-9.1 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-2,WoCT2-2-1,1,esm2,0,-9.18745333358561,26.3997690504185,standard,0-10 cm,0-9.2 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-2,WoCT2-2-2,2,esm1,-9.1,-27.2,56.1979209999999,standard,10-30 cm,9.1-27.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-2,WoCT2-2-2,2,esm2,-9.18745333358561,-27.170481129716,57.6024763038331,standard,10-30 cm,9.2-27.2 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-2,WoCT2-2-3,3,esm1,-27.2,-46.4,42.3724800000009,standard,30-50 cm,27.2-46.4 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-2,WoCT2-2-3,3,esm2,-27.170481129716,-46.2993572815495,45.9272214357235,standard,30-50 cm,27.2-46.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-2,WoCT2-2-4,4,esm1,-46.4,-69.8,35.2996399999991,standard,50-75 cm,46.4-69.8 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-2,WoCT2-2-4,4,esm2,-46.2993572815495,-70.2924168605201,36.9838307677936,standard,50-75 cm,46.3-70.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-2,WoCT2-2-5,5,esm1,-69.8,-92.9,18.9882000000001,standard,75-100 cm,69.8-92.9 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-2,WoCT2-2-5,5,esm2,-70.2924168605201,-93.408372134417,16.9755203487674,standard,75-100 cm,70.3-93.4 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-3,WoCT2-3-1,1,esm1,0,-9.1,28.561494,standard,0-10 cm,0-9.1 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-3,WoCT2-3-1,1,esm2,0,-9.18745333358561,28.7265845567684,standard,0-10 cm,0-9.2 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-3,WoCT2-3-2,2,esm1,-9.1,-27.2,59.9702459999998,standard,10-30 cm,9.1-27.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-3,WoCT2-3-2,2,esm2,-9.18745333358561,-27.170481129716,62.100715403592,standard,10-30 cm,9.2-27.2 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-3,WoCT2-3-3,3,esm1,-27.2,-46.4,36.4982399999999,standard,30-50 cm,27.2-46.4 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-3,WoCT2-3-3,3,esm2,-27.170481129716,-46.2993572815495,41.1196089383843,standard,30-50 cm,27.2-46.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-3,WoCT2-3-4,4,esm1,-46.4,-69.8,29.4673200000011,standard,50-75 cm,46.4-69.8 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-3,WoCT2-3-4,4,esm2,-46.2993572815495,-70.2924168605201,26.1259582925405,standard,50-75 cm,46.3-70.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT2-3,WoCT2-3-5,5,esm1,-69.8,-92.9,14.5183499999994,standard,75-100 cm,69.8-92.9 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT2-3,WoCT2-3-5,5,esm2,-70.2924168605201,-93.408372134417,12.6033728121876,standard,75-100 cm,70.3-93.4 cm,indv_project
